web-scraper-order;categoryLink;bookLink-href;title;price;ratingClass
1760744438-98;History;https://books.toscrape.com/catalogue/1491-new-revelations-of-the-americas-before-columbus_650/index.html;1491: New Revelations of the Americas Before Columbus;�21.80;star-rating Three
1760744440-74;Food and Drink;https://books.toscrape.com/catalogue/my-kitchen-year-136-recipes-that-saved-my-life_646/index.html;My Kitchen Year: 136 Recipes That Saved My Life;�11.53;star-rating Two
1760744440-99;History;https://books.toscrape.com/catalogue/a-distant-mirror-the-calamitous-14th-century_652/index.html;A Distant Mirror: The Calamitous 14th Century;�14.58;star-rating Three
1760744442-75;Food and Drink;https://books.toscrape.com/catalogue/barefoot-contessa-at-home-everyday-recipes-youll-make-over-and-over-again_666/index.html;Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again;�50.62;star-rating Five
1760744442-100;History;https://books.toscrape.com/catalogue/zealot-the-life-and-times-of-jesus-of-nazareth_785/index.html;Zealot: The Life and Times of Jesus of Nazareth;�24.70;star-rating Three
1760744444-76;Food and Drink;https://books.toscrape.com/catalogue/barefoot-contessa-back-to-basics_667/index.html;Barefoot Contessa Back to Basics;�28.01;star-rating One
1760744444-101;History;https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html;Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History;�59.64;star-rating One
1760744446-77;Food and Drink;https://books.toscrape.com/catalogue/its-all-easy-healthy-delicious-weeknight-meals-in-under-30-minutes_706/index.html;It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes;�19.55;star-rating One
1760744446-102;History;https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html;Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics;�36.28;star-rating Two
1760744448-78;Food and Drink;https://books.toscrape.com/catalogue/the-help-yourself-cookbook-for-kids-60-easy-plant-based-recipes-kids-can-make-to-stay-healthy-and-save-the-earth_751/index.html;The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth;�28.77;star-rating Three
1760744448-103;History;https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html;The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind;�19.73;star-rating One
1760744450-79;Food and Drink;https://books.toscrape.com/catalogue/deliciously-ella-every-day-quick-and-easy-recipes-for-gluten-free-snacks-packed-lunches-and-simple-meals_801/index.html;Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals;�42.16;star-rating Three
1760744451-104;History;https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html;Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink;�25.52;star-rating One
1760744452-80;Food and Drink;https://books.toscrape.com/catalogue/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html;The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First;�41.25;star-rating One
1760744453-105;History;https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html;Sapiens: A Brief History of Humankind;�54.23;star-rating Five
1760744454-81;Food and Drink;https://books.toscrape.com/catalogue/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html;The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking;�37.60;star-rating Two
1760744456-82;Food and Drink;https://books.toscrape.com/catalogue/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html;The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us;�37.34;star-rating Five
1760744457-106;Horror;https://books.toscrape.com/catalogue/house-of-leaves_169/index.html;House of Leaves;�54.89;star-rating One
1760744458-83;Food and Drink;https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html;Layered: Baking, Building, and Styling Spectacular Cakes;�40.11;star-rating One
1760744459-107;Horror;https://books.toscrape.com/catalogue/the-girl-with-all-the-gifts_250/index.html;The Girl with All the Gifts;�49.47;star-rating Three
1760744460-84;Food and Drink;https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html;Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed;�14.02;star-rating Four
1760744461-108;Horror;https://books.toscrape.com/catalogue/the-stand_282/index.html;The Stand;�57.86;star-rating Two
1760744462-85;Food and Drink;https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html;My Paris Kitchen: Recipes and Stories;�33.37;star-rating Two
1760744464-86;Food and Drink;https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html;The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!;�56.41;star-rating One
1760744464-109;Horror;https://books.toscrape.com/catalogue/salems-lot_309/index.html;'Salem's Lot;�49.56;star-rating Four
1760744466-87;Food and Drink;https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html;Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More;�30.52;star-rating Three
1760744466-110;Horror;https://books.toscrape.com/catalogue/it_330/index.html;It;�25.01;star-rating Three
1760744468-111;Horror;https://books.toscrape.com/catalogue/misery_332/index.html;Misery;�34.79;star-rating Two
1760744470-88;History;https://books.toscrape.com/catalogue/house-of-lost-worlds-dinosaurs-dynasties-and-the-story-of-life-on-earth_170/index.html;House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth;�43.70;star-rating Two
1760744470-112;Horror;https://books.toscrape.com/catalogue/needful-things_334/index.html;Needful Things;�47.51;star-rating Four
1760744472-89;History;https://books.toscrape.com/catalogue/the-guns-of-august_254/index.html;The Guns of August;�14.54;star-rating Two
1760744472-113;Horror;https://books.toscrape.com/catalogue/night-shift-night-shift-1-20_335/index.html;Night Shift (Night Shift #1-20);�12.75;star-rating Four
1760744474-90;History;https://books.toscrape.com/catalogue/americas-war-for-the-greater-middle-east-a-military-history_361/index.html;America's War for the Greater Middle East: A Military History;�51.22;star-rating Two
1760744474-114;Horror;https://books.toscrape.com/catalogue/dracula-the-un-dead_370/index.html;Dracula the Un-Dead;�35.63;star-rating Five
1760744476-91;History;https://books.toscrape.com/catalogue/the-hiding-place_406/index.html;The Hiding Place;�55.91;star-rating Four
1760744476-115;Horror;https://books.toscrape.com/catalogue/red-dragon-hannibal-lecter-1_390/index.html;Red Dragon (Hannibal Lecter #1);�23.37;star-rating Three
1760744478-92;History;https://books.toscrape.com/catalogue/the-mathews-men-seven-brothers-and-the-war-against-hitlers-u-boats_408/index.html;The Mathews Men: Seven Brothers and the War Against Hitler's U-boats;�42.91;star-rating Five
1760744479-116;Horror;https://books.toscrape.com/catalogue/can-you-keep-a-secret-fear-street-relaunch-4_614/index.html;Can You Keep a Secret? (Fear Street Relaunch #4);�48.64;star-rating One
1760744480-93;History;https://books.toscrape.com/catalogue/catherine-the-great-portrait-of-a-woman_424/index.html;Catherine the Great: Portrait of a Woman;�58.55;star-rating Four
1760744481-117;Horror;https://books.toscrape.com/catalogue/psycho-sanitarium-psycho-15_628/index.html;Psycho: Sanitarium (Psycho #1.5);�36.97;star-rating Five
1760744482-94;History;https://books.toscrape.com/catalogue/the-rise-and-fall-of-the-third-reich-a-history-of-nazi-germany_454/index.html;The Rise and Fall of the Third Reich: A History of Nazi Germany;�39.67;star-rating Two
1760744483-118;Horror;https://books.toscrape.com/catalogue/doctor-sleep-the-shining-2_686/index.html;Doctor Sleep (The Shining #2);�40.12;star-rating Two
1760744485-95;History;https://books.toscrape.com/catalogue/a-short-history-of-nearly-everything_457/index.html;A Short History of Nearly Everything;�52.40;star-rating Five
1760744485-119;Horror;https://books.toscrape.com/catalogue/pet-sematary_726/index.html;Pet Sematary;�10.56;star-rating Three
1760744487-120;Horror;https://books.toscrape.com/catalogue/the-loney_756/index.html;The Loney;�23.40;star-rating One
1760744489-97;History;https://books.toscrape.com/catalogue/brilliant-beacons-a-history-of-the-american-lighthouse_515/index.html;Brilliant Beacons: A History of the American Lighthouse;�11.45;star-rating Three
1760744489-121;Horror;https://books.toscrape.com/catalogue/follow-you-home_809/index.html;Follow You Home;�21.36;star-rating One
1760744491-98;History;https://books.toscrape.com/catalogue/1491-new-revelations-of-the-americas-before-columbus_650/index.html;1491: New Revelations of the Americas Before Columbus;�21.80;star-rating Three
1760744492-122;Horror;https://books.toscrape.com/catalogue/security_925/index.html;Security;�39.25;star-rating Two
1760744493-99;History;https://books.toscrape.com/catalogue/a-distant-mirror-the-calamitous-14th-century_652/index.html;A Distant Mirror: The Calamitous 14th Century;�14.58;star-rating Three
1760744495-100;History;https://books.toscrape.com/catalogue/zealot-the-life-and-times-of-jesus-of-nazareth_785/index.html;Zealot: The Life and Times of Jesus of Nazareth;�24.70;star-rating Three
1760744496-123;Humor;https://books.toscrape.com/catalogue/holidays-on-ice_167/index.html;Holidays on Ice;�51.07;star-rating Two
1760744497-101;History;https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html;Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History;�59.64;star-rating One
1760744498-124;Humor;https://books.toscrape.com/catalogue/lamb-the-gospel-according-to-biff-christs-childhood-pal_182/index.html;Lamb: The Gospel According to Biff, Christ's Childhood Pal;�55.50;star-rating Five
1760744499-102;History;https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html;Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics;�36.28;star-rating Two
1760744500-125;Humor;https://books.toscrape.com/catalogue/naked_197/index.html;Naked;�31.69;star-rating Three
1760744501-103;History;https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html;The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind;�19.73;star-rating One
1760744502-126;Humor;https://books.toscrape.com/catalogue/when-you-are-engulfed-in-flames_303/index.html;When You Are Engulfed in Flames;�30.89;star-rating Five
1760744503-104;History;https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html;Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink;�25.52;star-rating One
1760744505-105;History;https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html;Sapiens: A Brief History of Humankind;�54.23;star-rating Five
1760744505-127;Humor;https://books.toscrape.com/catalogue/toddlers-are-aholes-its-not-your-fault_503/index.html;Toddlers Are A**holes: It's Not Your Fault;�25.55;star-rating One
1760744507-128;Humor;https://books.toscrape.com/catalogue/dress-your-family-in-corduroy-and-denim_562/index.html;Dress Your Family in Corduroy and Denim;�43.68;star-rating Three
1760744509-106;Horror;https://books.toscrape.com/catalogue/house-of-leaves_169/index.html;House of Leaves;�54.89;star-rating One
1760744509-129;Humor;https://books.toscrape.com/catalogue/hyperbole-and-a-half-unfortunate-situations-flawed-coping-mechanisms-mayhem-and-other-things-that-happened_702/index.html;Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened;�14.75;star-rating Five
1760744511-107;Horror;https://books.toscrape.com/catalogue/the-girl-with-all-the-gifts_250/index.html;The Girl with All the Gifts;�49.47;star-rating Three
1760744511-130;Humor;https://books.toscrape.com/catalogue/i-know-what-im-doing-and-other-lies-i-tell-myself-dispatches-from-a-life-under-construction_704/index.html;I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction;�25.98;star-rating Four
1760744513-108;Horror;https://books.toscrape.com/catalogue/the-stand_282/index.html;The Stand;�57.86;star-rating Two
1760744513-131;Humor;https://books.toscrape.com/catalogue/old-school-diary-of-a-wimpy-kid-10_723/index.html;Old School (Diary of a Wimpy Kid #10);�11.83;star-rating Five
1760744515-109;Horror;https://books.toscrape.com/catalogue/salems-lot_309/index.html;'Salem's Lot;�49.56;star-rating Four
1760744515-132;Humor;https://books.toscrape.com/catalogue/the-long-haul-diary-of-a-wimpy-kid-9_757/index.html;The Long Haul (Diary of a Wimpy Kid #9);�44.07;star-rating One
1760744517-110;Horror;https://books.toscrape.com/catalogue/it_330/index.html;It;�25.01;star-rating Three
1760744519-111;Horror;https://books.toscrape.com/catalogue/misery_332/index.html;Misery;�34.79;star-rating Two
1760744520-133;Adult Fiction;https://books.toscrape.com/catalogue/fifty-shades-freed-fifty-shades-3_156/index.html;Fifty Shades Freed (Fifty Shades #3);�15.36;star-rating Five
1760744521-112;Horror;https://books.toscrape.com/catalogue/needful-things_334/index.html;Needful Things;�47.51;star-rating Four
1760744523-113;Horror;https://books.toscrape.com/catalogue/night-shift-night-shift-1-20_335/index.html;Night Shift (Night Shift #1-20);�12.75;star-rating Four
1760744524-134;Parenting;https://books.toscrape.com/catalogue/catastrophic-happiness-finding-joy-in-childhoods-messy-years_138/index.html;Catastrophic Happiness: Finding Joy in Childhood's Messy Years;�37.35;star-rating Two
1760744525-114;Horror;https://books.toscrape.com/catalogue/dracula-the-un-dead_370/index.html;Dracula the Un-Dead;�35.63;star-rating Five
1760744527-115;Horror;https://books.toscrape.com/catalogue/red-dragon-hannibal-lecter-1_390/index.html;Red Dragon (Hannibal Lecter #1);�23.37;star-rating Three
1760744528-135;Autobiography;https://books.toscrape.com/catalogue/a-heartbreaking-work-of-staggering-genius_115/index.html;A Heartbreaking Work of Staggering Genius;�54.29;star-rating Five
1760744529-116;Horror;https://books.toscrape.com/catalogue/can-you-keep-a-secret-fear-street-relaunch-4_614/index.html;Can You Keep a Secret? (Fear Street Relaunch #4);�48.64;star-rating One
1760744531-117;Horror;https://books.toscrape.com/catalogue/psycho-sanitarium-psycho-15_628/index.html;Psycho: Sanitarium (Psycho #1.5);�36.97;star-rating Five
1760744531-136;Autobiography;https://books.toscrape.com/catalogue/life-without-a-recipe_188/index.html;Life Without a Recipe;�59.04;star-rating Five
1760744533-118;Horror;https://books.toscrape.com/catalogue/doctor-sleep-the-shining-2_686/index.html;Doctor Sleep (The Shining #2);�40.12;star-rating Two
1760744533-137;Autobiography;https://books.toscrape.com/catalogue/lust-wonder_191/index.html;Lust & Wonder;�11.87;star-rating Two
1760744535-119;Horror;https://books.toscrape.com/catalogue/pet-sematary_726/index.html;Pet Sematary;�10.56;star-rating Three
1760744535-138;Autobiography;https://books.toscrape.com/catalogue/me-talk-pretty-one-day_193/index.html;Me Talk Pretty One Day;�57.60;star-rating Two
1760744537-120;Horror;https://books.toscrape.com/catalogue/the-loney_756/index.html;The Loney;�23.40;star-rating One
1760744537-139;Autobiography;https://books.toscrape.com/catalogue/running-with-scissors_215/index.html;Running with Scissors;�12.91;star-rating Four
1760744539-121;Horror;https://books.toscrape.com/catalogue/follow-you-home_809/index.html;Follow You Home;�21.36;star-rating One
1760744539-140;Autobiography;https://books.toscrape.com/catalogue/approval-junkie-adventures-in-caring-too-much_363/index.html;Approval Junkie: Adventures in Caring Too Much;�58.81;star-rating Five
1760744541-122;Horror;https://books.toscrape.com/catalogue/security_925/index.html;Security;�39.25;star-rating Two
1760744541-141;Autobiography;https://books.toscrape.com/catalogue/lab-girl_595/index.html;Lab Girl;�40.85;star-rating One
1760744543-142;Autobiography;https://books.toscrape.com/catalogue/m-train_598/index.html;M Train;�27.18;star-rating One
1760744545-123;Humor;https://books.toscrape.com/catalogue/holidays-on-ice_167/index.html;Holidays on Ice;�51.07;star-rating Two
1760744546-143;Autobiography;https://books.toscrape.com/catalogue/the-argonauts_837/index.html;The Argonauts;�10.93;star-rating Two
1760744547-124;Humor;https://books.toscrape.com/catalogue/lamb-the-gospel-according-to-biff-christs-childhood-pal_182/index.html;Lamb: The Gospel According to Biff, Christ's Childhood Pal;�55.50;star-rating Five
1760744549-125;Humor;https://books.toscrape.com/catalogue/naked_197/index.html;Naked;�31.69;star-rating Three
1760744550-144;Psychology;https://books.toscrape.com/catalogue/8-keys-to-mental-health-through-exercise_114/index.html;8 Keys to Mental Health Through Exercise;�31.04;star-rating One
1760744552-126;Humor;https://books.toscrape.com/catalogue/when-you-are-engulfed-in-flames_303/index.html;When You Are Engulfed in Flames;�30.89;star-rating Five
1760744552-145;Psychology;https://books.toscrape.com/catalogue/civilization-and-its-discontents_140/index.html;Civilization and Its Discontents;�59.95;star-rating Two
1760744554-127;Humor;https://books.toscrape.com/catalogue/toddlers-are-aholes-its-not-your-fault_503/index.html;Toddlers Are A**holes: It's Not Your Fault;�25.55;star-rating One
1760744554-146;Psychology;https://books.toscrape.com/catalogue/thinking-fast-and-slow_289/index.html;Thinking, Fast and Slow;�21.14;star-rating One
1760744556-128;Humor;https://books.toscrape.com/catalogue/dress-your-family-in-corduroy-and-denim_562/index.html;Dress Your Family in Corduroy and Denim;�43.68;star-rating Three
1760744556-147;Psychology;https://books.toscrape.com/catalogue/an-unquiet-mind-a-memoir-of-moods-and-madness_422/index.html;An Unquiet Mind: A Memoir of Moods and Madness;�21.30;star-rating Three
1760744558-129;Humor;https://books.toscrape.com/catalogue/hyperbole-and-a-half-unfortunate-situations-flawed-coping-mechanisms-mayhem-and-other-things-that-happened_702/index.html;Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened;�14.75;star-rating Five
1760744559-148;Psychology;https://books.toscrape.com/catalogue/it-didnt-start-with-you-how-inherited-family-trauma-shapes-who-we-are-and-how-to-end-the-cycle_593/index.html;It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle;�56.27;star-rating Three
1760744560-130;Humor;https://books.toscrape.com/catalogue/i-know-what-im-doing-and-other-lies-i-tell-myself-dispatches-from-a-life-under-construction_704/index.html;I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction;�25.98;star-rating Four
1760744561-149;Psychology;https://books.toscrape.com/catalogue/the-golden-condom-and-other-essays-on-love-lost-and-found_637/index.html;The Golden Condom: And Other Essays on Love Lost and Found;�39.43;star-rating One
1760744562-131;Humor;https://books.toscrape.com/catalogue/old-school-diary-of-a-wimpy-kid-10_723/index.html;Old School (Diary of a Wimpy Kid #10);�11.83;star-rating Five
1760744563-150;Psychology;https://books.toscrape.com/catalogue/the-lucifer-effect-understanding-how-good-people-turn-evil_758/index.html;The Lucifer Effect: Understanding How Good People Turn Evil;�10.40;star-rating One
1760744564-132;Humor;https://books.toscrape.com/catalogue/the-long-haul-diary-of-a-wimpy-kid-9_757/index.html;The Long Haul (Diary of a Wimpy Kid #9);�44.07;star-rating One
1760744567-151;Art;https://books.toscrape.com/catalogue/ways-of-seeing_94/index.html;Ways of Seeing;�39.51;star-rating Five
1760744568-133;Adult Fiction;https://books.toscrape.com/catalogue/fifty-shades-freed-fifty-shades-3_156/index.html;Fifty Shades Freed (Fifty Shades #3);�15.36;star-rating Five
1760744569-152;Art;https://books.toscrape.com/catalogue/the-art-book_490/index.html;The Art Book;�32.34;star-rating Two
1760744572-134;Parenting;https://books.toscrape.com/catalogue/catastrophic-happiness-finding-joy-in-childhoods-messy-years_138/index.html;Catastrophic Happiness: Finding Joy in Childhood's Messy Years;�37.35;star-rating Two
1760744572-153;Art;https://books.toscrape.com/catalogue/the-story-of-art_500/index.html;The Story of Art;�41.14;star-rating Four
1760744574-154;Art;https://books.toscrape.com/catalogue/history-of-beauty_521/index.html;History of Beauty;�10.29;star-rating Four
1760744576-135;Autobiography;https://books.toscrape.com/catalogue/a-heartbreaking-work-of-staggering-genius_115/index.html;A Heartbreaking Work of Staggering Genius;�54.29;star-rating Five
1760744576-155;Art;https://books.toscrape.com/catalogue/the-new-drawing-on-the-right-side-of-the-brain_550/index.html;The New Drawing on the Right Side of the Brain;�43.02;star-rating Three
1760744578-136;Autobiography;https://books.toscrape.com/catalogue/life-without-a-recipe_188/index.html;Life Without a Recipe;�59.04;star-rating Five
1760744578-156;Art;https://books.toscrape.com/catalogue/art-and-fear-observations-on-the-perils-and-rewards-of-artmaking_559/index.html;Art and Fear: Observations on the Perils (and Rewards) of Artmaking;�48.63;star-rating Four
1760744580-137;Autobiography;https://books.toscrape.com/catalogue/lust-wonder_191/index.html;Lust & Wonder;�11.87;star-rating Two
1760744580-157;Art;https://books.toscrape.com/catalogue/feathers-displays-of-brilliant-plumage_695/index.html;Feathers: Displays of Brilliant Plumage;�49.05;star-rating Three
1760744582-138;Autobiography;https://books.toscrape.com/catalogue/me-talk-pretty-one-day_193/index.html;Me Talk Pretty One Day;�57.60;star-rating Two
1760744582-158;Art;https://books.toscrape.com/catalogue/wall-and-piece_971/index.html;Wall and Piece;�44.18;star-rating Four
1760744584-139;Autobiography;https://books.toscrape.com/catalogue/running-with-scissors_215/index.html;Running with Scissors;�12.91;star-rating Four
1760744586-140;Autobiography;https://books.toscrape.com/catalogue/approval-junkie-adventures-in-caring-too-much_363/index.html;Approval Junkie: Adventures in Caring Too Much;�58.81;star-rating Five
1760744587-159;Paranormal;https://books.toscrape.com/catalogue/vampire-knight-vol-1-vampire-knight-1_93/index.html;Vampire Knight, Vol. 1 (Vampire Knight #1);�15.40;star-rating One
1760744588-141;Autobiography;https://books.toscrape.com/catalogue/lab-girl_595/index.html;Lab Girl;�40.85;star-rating One
1760744590-142;Autobiography;https://books.toscrape.com/catalogue/m-train_598/index.html;M Train;�27.18;star-rating One
1760744591-160;Poetry;https://books.toscrape.com/catalogue/twenty-love-poems-and-a-song-of-despair_91/index.html;Twenty Love Poems and a Song of Despair;�30.95;star-rating Four
1760744592-143;Autobiography;https://books.toscrape.com/catalogue/the-argonauts_837/index.html;The Argonauts;�10.93;star-rating Two
1760744593-161;Poetry;https://books.toscrape.com/catalogue/booked_365/index.html;Booked;�17.49;star-rating Five
1760744596-144;Psychology;https://books.toscrape.com/catalogue/8-keys-to-mental-health-through-exercise_114/index.html;8 Keys to Mental Health Through Exercise;�31.04;star-rating One
1760744596-162;Poetry;https://books.toscrape.com/catalogue/the-crossover_398/index.html;The Crossover;�38.77;star-rating Four
1760744598-145;Psychology;https://books.toscrape.com/catalogue/civilization-and-its-discontents_140/index.html;Civilization and Its Discontents;�59.95;star-rating Two
1760744598-163;Poetry;https://books.toscrape.com/catalogue/the-collected-poems-of-wb-yeats-the-collected-works-of-wb-yeats-1_441/index.html;The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1);�15.42;star-rating Five
1760744600-146;Psychology;https://books.toscrape.com/catalogue/thinking-fast-and-slow_289/index.html;Thinking, Fast and Slow;�21.14;star-rating One
1760744600-164;Poetry;https://books.toscrape.com/catalogue/leave-this-song-behind-teen-poetry-at-its-best_474/index.html;Leave This Song Behind: Teen Poetry at Its Best;�51.17;star-rating Five
1760744602-147;Psychology;https://books.toscrape.com/catalogue/an-unquiet-mind-a-memoir-of-moods-and-madness_422/index.html;An Unquiet Mind: A Memoir of Moods and Madness;�21.30;star-rating Three
1760744602-165;Poetry;https://books.toscrape.com/catalogue/howl-and-other-poems_522/index.html;Howl and Other Poems;�40.45;star-rating Two
1760744604-148;Psychology;https://books.toscrape.com/catalogue/it-didnt-start-with-you-how-inherited-family-trauma-shapes-who-we-are-and-how-to-end-the-cycle_593/index.html;It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle;�56.27;star-rating Three
1760744604-166;Poetry;https://books.toscrape.com/catalogue/les-fleurs-du-mal_530/index.html;Les Fleurs du Mal;�29.04;star-rating Five
1760744606-149;Psychology;https://books.toscrape.com/catalogue/the-golden-condom-and-other-essays-on-love-lost-and-found_637/index.html;The Golden Condom: And Other Essays on Love Lost and Found;�39.43;star-rating One
1760744606-167;Poetry;https://books.toscrape.com/catalogue/out-of-print-city-lights-spotlight-no-14_536/index.html;Out of Print: City Lights Spotlight No. 14;�53.64;star-rating Five
1760744608-150;Psychology;https://books.toscrape.com/catalogue/the-lucifer-effect-understanding-how-good-people-turn-evil_758/index.html;The Lucifer Effect: Understanding How Good People Turn Evil;�10.40;star-rating One
1760744609-168;Poetry;https://books.toscrape.com/catalogue/quarter-life-poetry-poems-for-the-young-broke-and-hangry_727/index.html;Quarter Life Poetry: Poems for the Young, Broke and Hangry;�50.89;star-rating Five
1760744611-169;Poetry;https://books.toscrape.com/catalogue/salt_731/index.html;salt.;�46.78;star-rating Four
1760744612-151;Art;https://books.toscrape.com/catalogue/ways-of-seeing_94/index.html;Ways of Seeing;�39.51;star-rating Five
1760744613-170;Poetry;https://books.toscrape.com/catalogue/night-sky-with-exit-wounds_822/index.html;Night Sky with Exit Wounds;�41.05;star-rating One
1760744615-152;Art;https://books.toscrape.com/catalogue/the-art-book_490/index.html;The Art Book;�32.34;star-rating Two
1760744615-171;Poetry;https://books.toscrape.com/catalogue/poems-that-make-grown-women-cry_824/index.html;Poems That Make Grown Women Cry;�14.19;star-rating Four
1760744617-153;Art;https://books.toscrape.com/catalogue/the-story-of-art_500/index.html;The Story of Art;�41.14;star-rating Four
1760744617-172;Poetry;https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html;Untitled Collection: Sabbath Poems 2014;�14.27;star-rating Four
1760744619-154;Art;https://books.toscrape.com/catalogue/history-of-beauty_521/index.html;History of Beauty;�10.29;star-rating Four
1760744619-173;Poetry;https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html;Slow States of Collapse: Poems;�57.31;star-rating Three
1760744621-155;Art;https://books.toscrape.com/catalogue/the-new-drawing-on-the-right-side-of-the-brain_550/index.html;The New Drawing on the Right Side of the Brain;�43.02;star-rating Three
1760744621-174;Poetry;https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html;You can't bury them all: Poems;�33.63;star-rating Two
1760744623-156;Art;https://books.toscrape.com/catalogue/art-and-fear-observations-on-the-perils-and-rewards-of-artmaking_559/index.html;Art and Fear: Observations on the Perils (and Rewards) of Artmaking;�48.63;star-rating Four
1760744624-175;Poetry;https://books.toscrape.com/catalogue/olio_984/index.html;Olio;�23.88;star-rating One
1760744625-157;Art;https://books.toscrape.com/catalogue/feathers-displays-of-brilliant-plumage_695/index.html;Feathers: Displays of Brilliant Plumage;�49.05;star-rating Three
1760744626-176;Poetry;https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html;Shakespeare's Sonnets;�20.66;star-rating Four
1760744627-158;Art;https://books.toscrape.com/catalogue/wall-and-piece_971/index.html;Wall and Piece;�44.18;star-rating Four
1760744628-177;Poetry;https://books.toscrape.com/catalogue/the-black-maria_991/index.html;The Black Maria;�52.15;star-rating One
1760744630-178;Poetry;https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html;A Light in the Attic;�51.77;star-rating Three
